Qualification 1,9377,4798,7079,6209
Qualification 2,14868,5628,15700,6990
Qualification 3,15169,6710,11503,6299
Qualification 4,12126,11918,7064,15470
Qualification 5,4545,12670,13342,12596
Qualification 6,12533,3781,14902,7797
Qualification 7,11549,8541,13400,9793
Qualification 8,9048,6210,4546,9527
Qualification 9,8886,14402,7161,8424
Qualification 10,14404,4027,14361,13760
Qualification 11,13329,5815,12928,4812
Qualification 12,5764,15734,4290,11093
Qualification 13,3708,4545,6209,15169
Qualification 14,6299,13400,6210,12126
Qualification 15,15470,11503,4798,14402
Qualification 16,11918,6710,9377,8886
Qualification 17,14361,12928,14902,13342
Qualification 18,11093,9048,7064,12533
Qualification 19,4546,7079,5628,4290
Qualification 20,6990,15734,9527,9793
Qualification 21,11549,7797,4027,12596
Qualification 22,3781,15700,13760,13329
Qualification 23,7161,12670,5764,14868
Qualification 24,4812,3708,8424,8541
Qualification 25,14404,6209,5815,15470
Qualification 26,12533*,9377,6210*,14361
Qualification 27,9793*,11093,4027,13342
Qualification 28,12596,13760,8886,6299
Qualification 29,13400,7064,5764,4545
Qualification 30,4798,9048,4812,14868
Qualification 31,15169,4546,15700,5815
Qualification 32,3781,7161,8541,5628
Qualification 33,7079,12670,11918,14404
Qualification 34,13329,14902,6710,15734
Qualification 35,9527,8424,4290,7797
Qualification 36,14402,6990,12928,11549
Qualification 37,12126,11503,3708,15700
Qualification 38,5815,5764,9048,5628
Qualification 39,8541,15169,13760,6210
Qualification 40,6299,14868,4545,7079
Qualification 41,4798,13400,7797,11093
Qualification 42,13342,4812,14404,3781
Qualification 43,6710,12126,6990,12533
Qualification 44,9793,13329,12670,4546
Qualification 45,15734,12928,12596,11918
Qualification 46,14361,8424,11503,6209
Qualification 47,15470,9527,3708,8886
Qualification 48,14902,11549,9377,7161
Qualification 49,4027,7064,14402,4290
Qualification 50,12533,13760,13400,4546
Qualification 51,6210,5764,3781,12928
Qualification 52,11093,6990,13329,8541
Qualification 53,15470,14361,4812,7079
Qualification 54,8424,11918,11549,4798
Qualification 55,9793,7064,6710,15700
Qualification 56,14868,12596,15169,9527
Qualification 57,7797,14402,12126,14404
Qualification 58,5628,4027,15734,9377
Qualification 59,5815,8886,12670,14902
Qualification 60,4545,4290,11503,7161
Qualification 61,13342,3708,6299,9048
Qualification 62,6209,12533,6210,9793
